序号,书名,作家,译者,出版社,初版时间,定价,评分,评分人数,简述,图片链接
1,红楼梦,[清] 曹雪芹 著,,人民文学出版社,1996-12,59.70元,9.6,371221,都云作者痴，谁解其中味？,https://img1.doubanio.com/view/subject/s/public/s1070959.jpg
2,活着,余华,,作家出版社,2012-8-1,20.00元,9.4,693669,生的苦难与伟大,https://img9.doubanio.com/view/subject/s/public/s27279654.jpg
3,1984,[英] 乔治·奥威尔,刘绍铭,北京十月文艺出版社,2010-4-1,28.00,9.4,240250,栗树荫下，我出卖你，你出卖我,https://img1.doubanio.com/view/subject/s/public/s4371408.jpg
4,百年孤独,[哥伦比亚] 加西亚·马尔克斯,范晔,南海出版公司,2011-6,39.50元,9.3,375308,魔幻现实主义文学代表作,https://img3.doubanio.com/view/subject/s/public/s27237850.jpg
5,三体全集,刘慈欣,,重庆出版社,2012-1-1,168.00元,9.4,134665,地球往事三部曲,https://img9.doubanio.com/view/subject/s/public/s28357056.jpg
6,飘,[美国] 玛格丽特·米切尔,李美华,译林出版社,2000-9,40.00元,9.3,193238,革命时期的爱情，随风而逝,https://img1.doubanio.com/view/subject/s/public/s1078958.jpg
7,哈利·波特,J.K.罗琳 (J.K.Rowling),苏农,人民文学出版社,2008-12-1,498.00元,9.7,71684,从9¾站台开始的旅程,https://img9.doubanio.com/view/subject/s/public/s29101586.jpg
8,房思琪的初恋乐园,林奕含,,北京联合出版公司,2018-2,45.00元,9.2,311975,向死而生的文学绝唱,https://img2.doubanio.com/view/subject/s/public/s29651121.jpg
9,三国演义（全二册）,[明] 罗贯中,,人民文学出版社,1998-05,39.50元,9.3,149883,是非成败转头空,https://img2.doubanio.com/view/subject/s/public/s1076932.jpg
10,动物农场,[英] 乔治·奥威尔,荣如德,上海译文出版社,2007-3,10.00元,9.3,132971,太阳底下并无新事,https://img3.doubanio.com/view/subject/s/public/s2347590.jpg
11,福尔摩斯探案全集（上中下）,[英] 乔治·奥威尔,荣如德,上海译文出版社,2007-3,10.00元,9.3,118162,名侦探的代名词,https://img3.doubanio.com/view/subject/s/public/s1229240.jpg
12,白夜行,[日] 东野圭吾,刘姿君,南海出版公司,2013-1-1,39.50元,9.1,393401,一宗离奇命案牵出跨度近20年步步惊心的故事,https://img1.doubanio.com/view/subject/s/public/s24514468.jpg
13,小王子,[法] 圣埃克苏佩里,马振聘,人民文学出版社,2003-8,22.00元,9.0,690177,献给长成了大人的孩子们,https://img2.doubanio.com/view/subject/s/public/s1103152.jpg
14,天龙八部,金庸,,生活·读书·新知三联书店,1994-5,96.00元,9.1,121477,有情皆孽，无人不冤,https://img9.doubanio.com/view/subject/s/public/s26018275.jpg
15,安徒生童话故事集,（丹麦）安徒生,叶君健,人民文学出版社,1997-08,25.00元,9.2,115036,为了争取未来的一代,https://img2.doubanio.com/view/subject/s/public/s1034062.jpg
16,撒哈拉的故事,三毛,,哈尔滨出版社,2003-8,15.80元,9.2,139676,游荡的自由灵魂,https://img2.doubanio.com/view/subject/s/public/s1369343.jpg
17,杀死一只知更鸟,[美] 哈珀·李,高红梅,译林出版社,2012-9,32.00元,9.2,120433,有一种东西不能遵循从众原则，那就是——人的良心,https://img2.doubanio.com/view/subject/s/public/s23128183.jpg
18,明朝那些事儿（1-9）,当年明月,,中国海关出版社,2009-4,358.20元,9.1,138978,不拘一格的历史书写,https://img9.doubanio.com/view/subject/s/public/s3745215.jpg
19,呐喊,鲁迅,,人民文学出版社,1973-3,0.36元,9.0,134431,新文学的第一声呐喊,https://img9.doubanio.com/view/subject/s/public/s34099286.jpg
20,沉默的大多数,王小波,,中国青年出版社,1997-10,27.00元,9.1,133807,沉默是沉默者的通行证,https://img1.doubanio.com/view/subject/s/public/s1447349.jpg
21,局外人,[法] 阿尔贝·加缪,柳鸣九,上海译文出版社,2010-8,22.00元,9.0,197022,人生在世，永远也不该演戏作假,https://img9.doubanio.com/view/subject/s/public/s4468484.jpg
22,失踪的孩子,[意] 埃莱娜·费兰特,陈英,人民文学出版社,2018-7,62.00元,9.2,60785,我的整个生命，只是一场为了提升社会地位的低俗斗争。,https://img1.doubanio.com/view/subject/s/public/s29799269.jpg
23,中国历代政治得失,钱穆,,生活·读书·新知三联书店,2001,12.00元,9.2,59261,一部简明的“中国政治制度史”,https://img9.doubanio.com/view/subject/s/public/s1319205.jpg
24,新名字的故事,[意] 埃莱娜·费兰特,陈英,人民文学出版社,2017-4,59.00元,9.1,71425,探索青年时代的激情、困惑、挣扎、背叛和失去,https://img9.doubanio.com/view/subject/s/public/s29376146.jpg
25,人类简史,[以色列] 尤瓦尔·赫拉利,林俊宏,中信出版社,2014-11,68.00元,9.1,174885,跟着人类一同走过十万年,https://img2.doubanio.com/view/subject/s/public/s27814883.jpg
26,平凡的世界（全三部）,路遥,,人民文学出版社,2005-1,64.00元,9.0,297448,中国当代城乡生活全景,https://img2.doubanio.com/view/subject/s/public/s1144911.jpg
27,围城,钱锺书,,人民文学出版社,1991-2,19.00,9.0,421838,幽默的语言和对生活深刻的观察,https://img2.doubanio.com/view/subject/s/public/s1070222.jpg
28,笑傲江湖（全四册）,金庸,,生活·读书·新知三联书店,1994-5,76.80元,9.1,102597,欲练此功，必先自宫,https://img9.doubanio.com/view/subject/s/public/s2157335.jpg
29,霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,杨玲,南海出版公司,2012-9-1,39.50元,9.0,245915,义无反顾地直达爱情的核心,https://img2.doubanio.com/view/subject/s/public/s11284102.jpg
30,乡土中国,费孝通,,上海人民出版社,2006-04-01,38.00,9.2,66113,中国乡土社会传统文化和社会结构理论研究代表作,https://img3.doubanio.com/view/subject/s/public/s1762210.jpg
31,白鹿原,陈忠实,,人民文学出版社,2012-9,39.00元,9.2,83320,一轴关于我们民族灵魂的现实主义画卷,https://img9.doubanio.com/view/subject/s/public/s28111905.jpg
32,野草,鲁迅,,人民文学出版社,1973-3,0.20元,9.4,35365,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。,https://img2.doubanio.com/view/subject/s/public/s34099301.jpg
33,肖申克的救赎,[美] 斯蒂芬·金,施寄青,人民文学出版社,2006-7,29.90元,9.1,108541,豆瓣电影Top1原著,https://img9.doubanio.com/view/subject/s/public/s4007145.jpg
34,东方快车谋杀案,[英] 阿加莎·克里斯蒂,陈尧光,人民文学出版社,2006-5,18.00元,9.0,123565,谋杀诡计惊人，波洛的抉择耐人寻味,https://img1.doubanio.com/view/subject/s/public/s1765799.jpg
35,基督山伯爵,大仲马,周克希,上海译文出版社,1991-12-1,43.90元,9.0,119708,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景,https://img9.doubanio.com/view/subject/s/public/s3248016.jpg
36,邓小平时代,[美] 傅高义,冯克利,生活·读书·新知三联书店,2013-1,88.00元,9.2,49575,个人命运背后的历史变局,https://img1.doubanio.com/view/subject/s/public/s24516687.jpg
37,月亮和六便士,[英] 毛姆,傅惟慈,上海译文出版社,2006-8,15.00元,9.0,184387,有多少人会经历顿悟，就有更少的人甘愿自我放逐,https://img1.doubanio.com/view/subject/s/public/s2659208.jpg
38,江城,[美] 彼得·海斯勒,李雪顺,上海译文出版社,2012-1,36.00元,9.1,52256,外国人眼中的涪陵,https://img9.doubanio.com/view/subject/s/public/s32271204.jpg
