排名,电影名称(cn),电影名称(en),导演,上映年份,制作国家,类型,评分,评价分数,短评
76,Harry Potter and the Deathly Hallows: Part 2,哈利·波特与死亡圣器(下),导演: 大卫·叶茨 David Yates,2011,美国 英国,奇幻 冒险,8.9,741290,10年的完美句点。
26,となりのトトロ,龙猫,导演: 宫崎骏 Hayao Miyazaki,1988,日本,动画 奇幻 冒险,9.2,1158108,人人心中都有个龙猫，童年就永远不会消失。
1,The Shawshank Redemption,肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont,1994,美国,犯罪 剧情,9.7,2624233,希望让人自由。
101,Edward Scissorhands,剪刀手爱德华,导演: 蒂姆·波顿 Tim Burton,1990,美国,剧情 奇幻 爱情,8.7,968951,浪漫忧郁的成人童话。
51,Roman Holiday,罗马假日,导演: 威廉·惠勒 William Wyler,1953,美国,喜剧 剧情 爱情,9.1,878423,爱情哪怕只有一天。
2,再见，我的妾    Farewell My Concubine,霸王别姬,导演: 陈凯歌 Kaige Chen,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,1948757,风华绝代。
77,The Silence of the Lambs,沉默的羔羊,导演: 乔纳森·戴米 Jonathan Demme,1991,美国,剧情 犯罪 惊悚,8.9,798643,安东尼·霍普金斯的顶级表演。
27,The Last Emperor,末代皇帝,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,9.3,779854,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
52,Heidi,海蒂和爷爷,导演: 阿兰·葛斯彭纳 Alain Gsponer,2015,德国 瑞士,剧情 冒险 家庭,9.3,493521,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
102,Braveheart,勇敢的心,导演: 梅尔·吉布森 Mel Gibson,1995,美国,动作 传记 剧情 历史 战争,8.9,526297,史诗大片的典范。
3,Forrest Gump,阿甘正传,导演: 罗伯特·泽米吉斯 Robert Zemeckis,1994,美国,剧情 爱情,9.5,1972965,一部美国近现代史。
78,The Cove,海豚湾,导演: 路易·西霍尤斯 Louie Psihoyos,2009,美国,纪录片,9.3,336238,海豚的微笑，是世界上最高明的伪装。
28,Coco,寻梦环游记,导演: 李·昂克里奇 Lee Unkrich  阿德里安·莫利纳 Adrian Molina,2017,美国,喜剧 动画 奇幻 音乐,9.1,1490924,死亡不是真的逝去，遗忘才是永恒的消亡。
53,The Lord of the Rings: The Fellowship of the Ring,指环王1：护戒使者,导演: 彼得·杰克逊 Peter Jackson,2001,新西兰 美国,剧情 动作 奇幻 冒险,9.1,770692,传说的开始。
4,Titanic,泰坦尼克号,导演: 詹姆斯·卡梅隆 James Cameron,1997,美国 墨西哥 澳大利亚 加拿大,剧情 爱情 灾难,9.4,1933359,失去的才是永恒的。 
79,The Prestige,致命魔术,导演: 克里斯托弗·诺兰 Christopher Nolan,2006,英国 美国,剧情 悬疑 惊悚,8.9,783226,孪生蝙蝠侠大战克隆金刚狼。
54,The Matrix,黑客帝国,导演: 安迪·沃卓斯基 Andy Wachowski  拉娜·沃卓斯基 Lana Wachowski,1999,美国,动作 科幻,9.1,767421,视觉革命。
5,Léon,这个杀手不太冷,导演: 吕克·贝松 Luc Besson,1994,法国 美国,剧情 动作 犯罪,9.4,2123990,怪蜀黍和小萝莉不得不说的故事。
80,Shutter Island,禁闭岛,导演: Martin Scorsese,2010,美国,剧情 悬疑 惊悚,8.8,878987,昔日翩翩少年，今日大腹便便。
6,La vita è bella,美丽人生,导演: 罗伯托·贝尼尼 Roberto Benigni,1997,意大利,剧情 喜剧 爱情 战争,9.6,1212567,最美的谎言。
81,The Grand Budapest Hotel,布达佩斯大饭店,导演: 韦斯·安德森 Wes Anderson,2014,美国 德国 英国,剧情 喜剧 冒险,8.9,832983,小清新的故事里注入了大历史的情怀。
7,千と千尋の神隠し,千与千寻,导演: 宫崎骏 Hayao Miyazaki,2001,日本,剧情 动画 奇幻,9.4,2049288,最好的宫崎骏，最好的久石让。 
103,Brokeback Mountain,断背山,导演: 李安 Ang Lee,2005,美国 加拿大,剧情 爱情 同性 家庭,8.8,654997,每个人心中都有一座断背山。
55,大闹天宫 上下集    The Monkey King,大闹天宫,导演: 万籁鸣 Laiming Wan,1961(中国大陆) , 1964(中国大陆) , 1978(中国大陆),9.4,387071,经典之作，历久弥新。
104,唐伯虎點秋香,唐伯虎点秋香,导演: 李力持 Lik-Chi Lee,1993,中国香港,喜剧 爱情 古装,8.7,972424,华太师是黄霑，吴镇宇四大才子之一。
56,The Godfather: Part Ⅱ,教父2,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1974,美国,剧情 犯罪,9.2,493712,优雅的孤独。
8,Schindlers List,辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,1993,美国,剧情 历史 战争,9.6,1011531,拯救一个人，就是拯救整个世界。
57,Dead Poets Society,死亡诗社,导演: 彼得·威尔 Peter Weir,1989,美国,剧情,9.1,642589,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
9,Inception,盗梦空间,导演: 克里斯托弗·诺兰 Christopher Nolan,2010,美国 英国,剧情 科幻 悬疑 冒险,9.4,1890625,诺兰给了我们一场无法盗取的梦。
58,변호인,辩护人,导演: 杨宇硕 Woo-seok Yang,2013,韩国,剧情,9.2,543324,电影的现实意义大过电影本身。
10,Hachi: A Dogs Tale,忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström,2009,美国 英国,剧情,9.4,1293389,永远都不能忘记你所爱的人。
59,The Lion King,狮子王,导演: Roger Allers  罗伯·明可夫 Rob Minkoff,1994,美国,动画 冒险 歌舞,9.1,759665,动物版《哈姆雷特》。
11,Interstellar,星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan,2014,美国 英国 加拿大,剧情 科幻 冒险,9.4,1582035,爱是一种力量，让我们超越时空感知它的存在。
60,Green Book,绿皮书,导演: 彼得·法雷里 Peter Farrelly,2018,美国 中国大陆,剧情 喜剧 传记 音乐,8.9,1467572,去除成见，需要勇气。
12,The Truman Show,楚门的世界,导演: 彼得·威尔 Peter Weir,1998,美国,剧情 科幻,9.3,1504726,如果再也不能见到你，祝你早安，午安，晚安。
